SN,Gender,Age group,University/College,Level of Study,Indicate your year of study,Indicate your discipline of study,"To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [1) How often do you find that you stay on-line longer than intended?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [2) How often do you neglect household chores to spend more time on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [3) How often do you prefer the excitement of the Internet to intimacy with your partner?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [4) How often do you form new relationships with fellow on-line users?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [5) How often do others in your life complain to you about the amount of time you spend online?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [6) How often do your grades or school-work suffer because of the amount of time you spend on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [7) How often do you check your e-mail/social media platforms before something else that you need to do?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [8) How often does your job performance or productivity suffer because of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [9) How often do you become defensive or secretive when anyone asks you what you do on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [10) How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [11) How often do you find yourself anticipating when you will go on-line again?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [12) How often do you fear that life without the Internet would be boring, empty, and joyless?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [13) How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [14) How often do you lose sleep due to late- night log-ins?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [15) How often do you feel preoccupied with the Internet when off-line, or fantasize about being on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [16) How often do you find yourself saying ""just a few more minutes"" when on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [17) How often do you try to cut down the amount of time you spend on-line and fail?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [18) How often do you try to hide how long you've been on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [19) How often do you choose to spend more time on-line over going out with others?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [20) How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back on-line?]",In the last two weeks: [Do you often have headaches?],In the last two weeks: [Is your appetite poor?],In the last two weeks: [Do you sleep badly?],In the last two weeks: [Are you easily frightened?],In the last two weeks: [Do your hands shake?],"In the last two weeks: [Do you feel nervous, tense or worried?]",In the last two weeks: [Is your digestion poor?],In the last two weeks: [Do you have trouble thinking clearly],In the last two weeks: [Do you feel unhappy?],In the last two weeks: [Do you cry more than usual?],In the last two weeks: [Do you find it difficult to enjoy your daily activities?],In the last two weeks: [Do you find it difficult to make decisions?],In the last two weeks: [Is your daily work suffering?],In the last two weeks: [Are you unable to play a useful part in life?],In the last two weeks: [Have you lost interest in things?],In the last two weeks: [Do you feel that you are a worthless person?],In the last two weeks: [Has the thought of ending your life been on your mind?],In the last two weeks: [Do you feel tired all the time?],In the last two weeks: [Do you have uncomfortable feelings in your stomach?],In the last two weeks: [Are you easily tired?],
830,Male,30-34,Nalikule College of Education,Undergraduate,2,Science,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,1,No,1,No,7=Missing,No,No,No,No,No,1,No,No,7=Missing,1,No,No,No,1,No,5
831,Male,20-24,Nalikule College of Education,Undergraduate,2,Science,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
832,Male,25-29,Nalikule College of Education,Undergraduate,2,Science,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,4=Often,2=Occasionally,3=Frequently,1=Rarely,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,5=Always,No,No,No,No,No,1,No,1,1,No,1,No,1,1,1,1,No,No,No,No,8
833,Male,25-29,Nalikule College of Education,Undergraduate,2,Science,3=Frequently,2=Occasionally,2=Occasionally,4=Often,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,4=Often,3=Frequently,1,No,1,No,No,1,No,No,No,No,1,1,No,No,No,No,No,No,No,No,5
834,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,4=Often,4=Often,3=Frequently,4=Often,1=Rarely,2=Occasionally,1=Rarely,0=Does not Apply,3=Frequently,3=Frequently,4=Often,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,No,1,No,No,No,1,No,No,No,No,No,No,1,1,No,No,No,No,No,No,4
835,Female,25-29,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,2=Occasionally,No,No,No,1,1,1,No,No,1,1,1,1,No,1,1,No,1,No,No,No,10
836,Male,15-19,Nalikule College of Education,Undergraduate,1,Science,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,3=Frequently,5=Always,4=Often,5=Always,3=Frequently,1=Rarely,99=Missing,5=Always,4=Often,2=Occasionally,2=Occasionally,1=Rarely,No,No,No,No,1,1,No,No,No,No,No,No,1,1,No,No,No,No,No,No,4
837,Male,15-19,Nalikule College of Education,Undergraduate,1,Science,1=Rarely,1=Rarely,1=Rarely,4=Often,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,No,1,No,No,No,1,1,1,1,No,No,No,No,1,1,No,No,No,1,1,9
838,Male,25-29,Nalikule College of Education,Undergraduate,1,Humanities and Social Science,3=Frequently,1=Rarely,5=Always,5=Always,2=Occasionally,0=Does not Apply,4=Often,3=Frequently,0=Does not Apply,5=Always,4=Often,5=Always,2=Occasionally,5=Always,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,5=Always,4=Often,No,No,No,No,No,1,No,No,1,No,No,1,1,1,No,No,No,7=Missing,No,No,5
839,Female,15-19,Nalikule College of Education,Undergraduate,1,Science,1=Rarely,3=Frequently,3=Frequently,1=Rarely,3=Frequently,3=Frequently,5=Always,0=Does not Apply,0=Does not Apply,0=Does not Apply,5=Always,2=Occasionally,2=Occasionally,4=Often,1=Rarely,1=Rarely,4=Often,1=Rarely,1=Rarely,4=Often,No,No,No,No,No,No,No,No,No,No,No,1,1,No,No,No,No,No,1,1,4
840,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,3=Frequently,3=Frequently,4=Often,2=Occasionally,2=Occasionally,5=Always,2=Occasionally,2=Occasionally,5=Always,4=Often,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
841,Male,20-24,Nalikule College of Education,Undergraduate,2,Science,3=Frequently,2=Occasionally,4=Often,1=Rarely,4=Often,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,3=Frequently,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,No,No,No,No,No,1,1,1,No,No,1,1,No,No,1,No,No,No,No,No,6
842,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,0=Does not Apply,2=Occasionally,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,No,No,1,No,No,No,No,No,No,7=Missing,1,No,No,1,No,No,1,No,No,No,4
843,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,2=Occasionally,99=Missing,3=Frequently,2=Occasionally,3=Frequently,1=Rarely,2=Occasionally,3=Frequently,4=Often,1=Rarely,1=Rarely,3=Frequently,4=Often,2=Occasionally,4=Often,3=Frequently,1=Rarely,2=Occasionally,1=Rarely,No,No,No,No,No,1,No,No,No,No,No,No,No,No,1,No,No,No,1,No,3
844,Female,20-24,Nalikule College of Education,Undergraduate,1,Science,2=Occasionally,1=Rarely,3=Frequently,99=Missing,1=Rarely,0=Does not Apply,3=Frequently,0=Does not Apply,2=Occasionally,2=Occasionally,5=Always,1=Rarely,5=Always,1=Rarely,2=Occasionally,3=Frequently,3=Frequently,1=Rarely,0=Does not Apply,3=Frequently,No,No,No,No,No,No,No,No,No,No,1,1,,No,1,1,1,No,No,1,6
845,Male,25-29,Nalikule College of Education,Undergraduate,2,Science,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,2
846,Male,20-24,Nalikule College of Education,Undergraduate,2,Science,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
847,Male,25-29,Nalikule College of Education,Undergraduate,2,Science,1=Rarely,0=Does not Apply,4=Often,4=Often,0=Does not Apply,1=Rarely,3=Frequently,0=Does not Apply,2=Occasionally,2=Occasionally,3=Frequently,4=Often,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
848,Male,15-19,Nalikule College of Education,Undergraduate,1,Humanities and Social Science,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,3=Frequently,0=Does not Apply,1=Rarely,0=Does not Apply,5=Always,4=Often,1=Rarely,5=Always,4=Often,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,No,No,No,No,No,1,No,No,No,No,1,1,No,No,No,No,1,No,1,No,5
849,Male,25-29,Nalikule College of Education,Undergraduate,1,Science,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,1=Rarely,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,0
850,Male,25-29,Nalikule College of Education,Undergraduate,1,Science,2=Occasionally,0=Does not Apply,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,3=Frequently,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,No,No,No,No,No,1,1,1,1,No,1,No,No,No,No,1,No,1,No,No,7
851,Male,20-24,Nalikule College of Education,Undergraduate,2,Science,3=Frequently,2=Occasionally,3=Frequently,1=Rarely,0=Does not Apply,4=Often,4=Often,2=Occasionally,5=Always,3=Frequently,5=Always,5=Always,2=Occasionally,4=Often,5=Always,3=Frequently,2=Occasionally,0=Does not Apply,2=Occasionally,3=Frequently,No,No,No,No,No,1,1,1,No,1,7=Missing,1,1,1,No,No,No,No,1,1,9
852,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,No,No,No,1,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,1,3
853,Male,20-24,Nalikule College of Education,Undergraduate,2,Science,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,No,No,1,No,No,1,No,1,1,No,No,No,No,1,No,No,No,No,No,No,5
854,Male,20-24,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,0=Does not Apply,5=Always,0=Does not Apply,1=Rarely,0=Does not Apply,2=Occasionally,0=Does not Apply,5=Always,2=Occasionally,2=Occasionally,5=Always,4=Often,1=Rarely,2=Occasionally,3=Frequently,2=Occasionally,0=Does not Apply,3=Frequently,2=Occasionally,No,No,1,No,1,1,No,1,No,No,No,No,1,No,No,No,1,1,1,1,9
855,Male,30-34,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,2=Occasionally,4=Often,4=Often,2=Occasionally,3=Frequently,4=Often,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,5=Always,4=Often,3=Frequently,4=Often,4=Often,4=Often,2=Occasionally,3=Frequently,5=Always,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
856,Male,30-34,Nalikule College of Education,Undergraduate,1,Science,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,3=Frequently,1=Rarely,3=Frequently,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,1,1,No,1,No,1,No,No,4
857,Male,20-24,Malawi University of Science and Technology,Undergraduate,2,Science,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,1,No,1,No,No,No,1,1,No,No,No,No,1,No,No,No,No,No,1,1,7
858,Male,15-19,Catholic University,Undergraduate,1,Science,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,5=Always,4=Often,4=Often,3=Frequently,4=Often,1=Rarely,1=Rarely,3=Frequently,3=Frequently,No,No,1,1,1,1,1,1,1,No,1,1,1,1,1,1,No,No,1,No,14
859,Male,25-29,Catholic University,Undergraduate,3,Science,3=Frequently,0=Does not Apply,0=Does not Apply,4=Often,2=Occasionally,1=Rarely,4=Often,0=Does not Apply,1=Rarely,0=Does not Apply,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,1=Rarely,0=Does not Apply,2=Occasionally,3=Frequently,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
860,Female,25-29,Catholic University,Undergraduate,4+,Science,4=Often,2=Occasionally,5=Always,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,3=Frequently,4=Often,5=Always,1=Rarely,0=Does not Apply,2=Occasionally,3=Frequently,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,4=Often,1,No,No,No,1,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,3
861,Female,25-29,Catholic University,Undergraduate,3,Science,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
862,Male,20-24,Catholic University,Undergraduate,3,Science,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,0=Does not Apply,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,1=Rarely,5=Always,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,No,No,No,No,1,1,No,1,1,No,No,No,No,1,1,1,1,No,1,No,9
863,Male,20-24,Catholic University,Undergraduate,4+,Humanities and Social Science,3=Frequently,1=Rarely,3=Frequently,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,4=Often,5=Always,2=Occasionally,4=Often,0=Does not Apply,3=Frequently,3=Frequently,2=Occasionally,99=Missing,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,1,No,No,1,No,No,No,No,No,1,No,No,No,1,No,4
864,Female,35-39,Catholic University,Undergraduate,4+,Science,2=Occasionally,2=Occasionally,99=Missing,3=Frequently,2=Occasionally,3=Frequently,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1,No,No,No,1,1,No,1,1,No,1,1,1,1,No,No,No,No,No,No,9
865,Male,15-19,Catholic University,Undergraduate,1,Science,4=Often,3=Frequently,3=Frequently,4=Often,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,3=Frequently,1,No,1,No,No,1,No,No,1,No,1,No,No,No,1,No,No,No,1,No,7
866,Female,35-39,Catholic University,Undergraduate,4+,Humanities and Social Science,4=Often,3=Frequently,3=Frequently,4=Often,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
867,Male,20-24,Catholic University,Undergraduate,4+,Science,1=Rarely,5=Always,0=Does not Apply,1=Rarely,5=Always,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,2=Occasionally,5=Always,5=Always,3=Frequently,5=Always,5=Always,4=Often,2=Occasionally,5=Always,5=Always,No,No,No,1,1,1,No,No,No,No,No,No,1,1,1,No,No,No,No,No,6
868,Male,15-19,Catholic University,Undergraduate,1,Science,3=Frequently,1=Rarely,4=Often,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,0=Does not Apply,2=Occasionally,4=Often,0=Does not Apply,3=Frequently,3=Frequently,2=Occasionally,0=Does not Apply,0=Does not Apply,No,1,1,1,No,No,No,1,No,1,No,No,1,1,1,No,No,No,1,1,10
869,Male,20-24,Catholic University,Undergraduate,4+,Science,5=Always,4=Often,3=Frequently,3=Frequently,4=Often,4=Often,1=Rarely,3=Frequently,4=Often,4=Often,4=Often,5=Always,4=Often,1=Rarely,2=Occasionally,5=Always,5=Always,4=Often,1=Rarely,1=Rarely,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
870,Prefer Not to Say,15-19,Catholic University,Undergraduate,3,Humanities and Social Science,3=Frequently,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,5=Always,0=Does not Apply,1=Rarely,5=Always,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,No,1,No,No,2
871,Male,20-24,Catholic University,Undergraduate,1,Science,1=Rarely,0=Does not Apply,1=Rarely,5=Always,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,4=Often,0=Does not Apply,0=Does not Apply,4=Often,4=Often,3=Frequently,3=Frequently,1=Rarely,0=Does not Apply,4=Often,No,No,No,No,No,No,No,1,No,No,No,1,No,No,No,No,No,No,No,No,2
872,Male,15-19,Catholic University,Undergraduate,3,Humanities and Social Science,3=Frequently,1=Rarely,0=Does not Apply,3=Frequently,1=Rarely,0=Does not Apply,3=Frequently,0=Does not Apply,5=Always,0=Does not Apply,1=Rarely,4=Often,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,No,2
873,Male,20-24,Catholic University,Undergraduate,3,Science,4=Often,2=Occasionally,5=Always,3=Frequently,3=Frequently,1=Rarely,3=Frequently,2=Occasionally,4=Often,4=Often,3=Frequently,5=Always,3=Frequently,4=Often,3=Frequently,3=Frequently,4=Often,3=Frequently,3=Frequently,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
874,Male,20-24,Catholic University,Undergraduate,2,Science,3=Frequently,4=Often,4=Often,3=Frequently,4=Often,4=Often,2=Occasionally,4=Often,3=Frequently,4=Often,2=Occasionally,5=Always,5=Always,4=Often,3=Frequently,5=Always,3=Frequently,4=Often,3=Frequently,5=Always,1,No,No,1,1,1,No,No,No,No,No,1,1,1,1,No,No,No,No,No,8
875,Male,20-24,Catholic University,Undergraduate,2,Science,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,4=Often,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,4=Often,1=Rarely,1=Rarely,3=Frequently,3=Frequently,1=Rarely,4=Often,1=Rarely,1=Rarely,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,2
876,Male,25-29,Catholic University,Undergraduate,3,Humanities and Social Science,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,0=Does not Apply,3=Frequently,1=Rarely,3=Frequently,4=Often,1=Rarely,3=Frequently,0=Does not Apply,1=Rarely,4=Often,4=Often,1=Rarely,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,1,1,No,No,3
877,Female,15-19,Catholic University,Undergraduate,1,Science,1=Rarely,4=Often,0=Does not Apply,1=Rarely,5=Always,1=Rarely,5=Always,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,5=Always,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,5=Always,0=Does not Apply,0=Does not Apply,1,No,No,1,1,No,1,No,No,1,No,No,No,No,No,No,No,No,1,1,7
878,Female,20-24,Catholic University,Undergraduate,4+,Science,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,4=Often,1=Rarely,1,No,1,No,No,1,No,No,No,No,1,No,No,No,1,No,No,1,1,1,8
879,Female,15-19,Catholic University,Undergraduate,4+,Science,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,4=Often,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,3=Frequently,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1,No,1,No,1,1,No,1,No,1,1,1,No,No,1,No,No,1,No,1,11
880,Male,15-19,Catholic University,Undergraduate,3,Humanities and Social Science,5=Always,3=Frequently,1=Rarely,5=Always,1=Rarely,3=Frequently,1=Rarely,4=Often,4=Often,3=Frequently,2=Occasionally,5=Always,2=Occasionally,5=Always,2=Occasionally,5=Always,3=Frequently,1=Rarely,1=Rarely,4=Often,No,No,1,1,No,1,No,1,No,No,No,1,No,1,1,1,No,No,1,1,10
881,Female,20-24,Catholic University,Undergraduate,2,Humanities and Social Science,5=Always,4=Often,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,2=Occasionally,3=Frequently,5=Always,5=Always,3=Frequently,4=Often,5=Always,3=Frequently,5=Always,4=Often,3=Frequently,4=Often,3=Frequently,No,No,1,1,No,1,No,1,No,No,1,1,No,No,1,1,No,1,No,1,10
882,Male,15-19,Catholic University,Undergraduate,3,Humanities and Social Science,3=Frequently,3=Frequently,4=Often,3=Frequently,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,4=Often,3=Frequently,3=Frequently,5=Always,2=Occasionally,2=Occasionally,3=Frequently,4=Often,2=Occasionally,3=Frequently,2=Occasionally,4=Often,No,No,No,No,No,1,1,No,No,No,No,No,No,No,No,No,No,No,1,1,4
883,Male,20-24,Catholic University,Undergraduate,3,Science,5=Always,3=Frequently,3=Frequently,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,4=Often,0=Does not Apply,0=Does not Apply,1=Rarely,5=Always,1=Rarely,2=Occasionally,5=Always,0=Does not Apply,No,No,No,1,No,No,1,1,No,No,No,1,No,No,No,No,No,No,1,No,5
884,Male,20-24,Catholic University,Undergraduate,4+,Science,3=Frequently,2=Occasionally,2=Occasionally,4=Often,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,2=Occasionally,5=Always,3=Frequently,5=Always,0=Does not Apply,3=Frequently,4=Often,1=Rarely,3=Frequently,2=Occasionally,3=Frequently,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
885,Male,15-19,Catholic University,Undergraduate,1,Humanities and Social Science,4=Often,2=Occasionally,3=Frequently,1=Rarely,2=Occasionally,4=Often,1=Rarely,4=Often,1=Rarely,5=Always,5=Always,4=Often,1=Rarely,5=Always,2=Occasionally,5=Always,1=Rarely,5=Always,4=Often,2=Occasionally,1,1,1,No,1,1,1,No,No,No,1,No,1,No,1,No,No,1,No,1,11
